Tacapobas,mean,count,std,ci95_hi,ci95_lo,ventilation,interven_eff
N95,6.206999905407429,10,2.826788712942526,7.950122610813512,4.463877200001345,15.0,40.0%
Quirúrgico,7.410000078380108,10,1.877285237114516,8.567617025962878,6.252383130797337,15.0,40.0%
Tela,8.367999978363514,10,2.6892493809300024,10.026309860151148,6.709690096575879,15.0,40.0%
