Tacapobas,mean,count,std,ci95_hi,ci95_lo,ventilation,interven_eff
N95,6.50900000706315,10,3.0568700107083364,8.39400099731897,4.623999016807329,0.0,40.0%
Quirúrgico,29.600000083446503,10,2.3784540138802424,31.066659822243608,28.133340344649397,0.0,40.0%
Tela,28.15999984741211,10,2.186798828039888,29.50847653824473,26.81152315657949,0.0,40.0%
